job,nextJobs,prevJobs,jobExec,isBase,path
PCOGCP0DF0,#N/A,#N/A,#N/A,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0SHI,#N/A,#N/A,#N/A,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0H01,PCOGCP0I01,#N/A,pcog-pe-spk-qlt-adjustratess-01,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0I01,"PCOGCP0I02, PCOGCP0H02",PCOGCP0H01,pcog-pe-krb-inr-adjustratesp-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0H02,#N/A,PCOGCP0I01,pcog-pe-spk-qlt-adjustratesr-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0I02,"PCOGCP0H03, PBILCP0014",PCOGCP0I01,pcog-pe-krb-inm-adjustratesp-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0H03,#N/A,PCOGCP0I02,pcog-pe-spk-qlt-adjustratesm-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0028,#N/A,#N/A,#N/A,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0T28,#N/A,#N/A,cpdatapx.sh,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0C28,#N/A,#N/A,pcog-pe-krb-out-exchangeratep-01,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0029,PCOGCP0030,#N/A,pcog-pe-spk-qlt-catalogrcds-01,TRUE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0030,PCOGCP0031,PCOGCP0029,pcog-pe-krb-inr-catalogrcdp-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0031,PCOGCP0032,PCOGCP0030,pcog-pe-spk-qlt-catalogrcdr-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0032,PCOGCP0033,PCOGCP0031,pcog-pe-krb-inm-catalogrcdp-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0033,PCOGCP0034,PCOGCP0032,pcog-pe-spk-qlt-catalogrcdm-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
PCOGCP0034,#N/A,PCOGCP0033,pcog-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PCOG/CR-PECOGDIA-T02.xml
